Index,Well.API,Field,Operator,Spud.Year,Max_Gas,Lat_Len,Vert_Len,Fluid,Proppant,ShalePlay
4261,3.14E+12,B-43,"Seeco, Llc",2012,605278,4560,3701,104953,3530294,Fayetteville
4262,3.14E+12,B-43,"Seeco, Llc",2012,524757,4080,4147,106568,3533600,Fayetteville
4263,3.14E+12,B-43,"Seeco, Llc",2012,599624,4184,4006,80293,2741407,Fayetteville
4264,3.14E+12,B-43,"Seeco, Llc",2012,853741,4781,3703,144835,3917478,Fayetteville
4265,3.14E+12,B-43,"Seeco, Llc",2012,473762,4185,3685,84964,3130307,Fayetteville
4266,3.14E+12,B-43,"Seeco, Llc",2012,490272,3896,4020,79857,2739821,Fayetteville
4267,3.14E+12,B-43,"Seeco, Llc",2012,510464,4613,3948,100843,3521282,Fayetteville
4268,3.14E+12,B-43,"Seeco, Llc",2012,346458,3487,4095,60604,2727001,Fayetteville
4269,3.14E+12,B-43,"Seeco, Llc",2012,396227,4454,4029,79596,3510237,Fayetteville
4270,3.14E+12,B-43,"Seeco, Llc",2012,601419,4242,4571,130213,3510458,Fayetteville
4271,3.14E+12,B-43,"Seeco, Llc",2012,690724,4608,4637,103756,3517579,Fayetteville
4272,3.14E+12,B-43,"Seeco, Llc",2012,782383,5462,4752,156836,4286114,Fayetteville
4273,3.14E+12,B-43,"Seeco, Llc",2012,538094,3187,3774,62426,2347790,Fayetteville
4274,3.14E+12,B-43,"Seeco, Llc",2012,1042400,4242,4071,115051,3335124,Fayetteville
4275,3.14E+12,B-43,"Seeco, Llc",2012,680934,3405,3761,86932,2551544,Fayetteville
4276,3.14E+12,B-43,"Seeco, Llc",2012,635810,3159,4238,94253,2746199,Fayetteville
4277,3.14E+12,B-43,"Seeco, Llc",2012,885304,5312,4365,106269,3904212,Fayetteville
4278,3.14E+12,B-43,"Seeco, Llc",2012,491712,2612,4015,51262,1797400,Fayetteville
4279,3.14E+12,B-43,"Seeco, Llc",2012,698074,5917,4279,123411,4306972,Fayetteville
4280,3.14E+12,B-43,"Seeco, Llc",2012,611265,5895,4069,135034,4695351,Fayetteville
4281,3.14E+12,B-43,"Seeco, Llc",2012,558091,4602,3998,111061,3275091,Fayetteville
4282,3.14E+12,B-43,"Seeco, Llc",2012,606631,5108,3402,121532,3634417,Fayetteville
4283,3.14E+12,B-43,"Seeco, Llc",2012,452991,5132,3854,122309,3609808,Fayetteville
4284,3.14E+12,B-43,"Seeco, Llc",2012,719992,3897,3586,75847,2740548,Fayetteville
4285,3.14E+12,B-43,"Seeco, Llc",2012,428529,2730,4870,75491,2340683,Fayetteville
4286,3.14E+12,B-43,"Seeco, Llc",2012,716287,4232,3964,85863,3139304,Fayetteville
4287,3.14E+12,B-43,"Seeco, Llc",2012,485121,2802,3591,64097,2361787,Fayetteville
4288,3.14E+12,B-43,"Seeco, Llc",2012,718211,4232,4618,85914,3141278,Fayetteville
4289,3.14E+12,B-43,"Seeco, Llc",2012,465307,3432,4244,61026,1957291,Fayetteville
4290,3.14E+12,B-43,"Seeco, Llc",2012,571913,3446,4713,83654,2732757,Fayetteville
4291,3.14E+12,B-43,"Seeco, Llc",2012,702078,5564,2694,118488,3591525,Fayetteville
4292,3.14E+12,B-43,"Seeco, Llc",2012,447536,4270,2759,95354,2893871,Fayetteville
4293,3.14E+12,B-43,"Seeco, Llc",2012,295295,5982,3590,95570,4247352,Fayetteville
4294,3.14E+12,B-43,"Seeco, Llc",2012,249678,3047,3654,51671,2347215,Fayetteville
4295,3.14E+12,B-43,"Seeco, Llc",2012,360822,5489,3914,88296,3891661,Fayetteville
4296,3.14E+12,B-43,"Seeco, Llc",2012,586661,4138,4096,76084,3134894,Fayetteville
4297,3.14E+12,B-43,"Seeco, Llc",2012,753949,4044,4035,72065,3136975,Fayetteville
4298,3.14E+12,B-43,"Seeco, Llc",2012,758035,5253,3796,85810,3935251,Fayetteville
4299,3.14E+12,B-43,"Seeco, Llc",2012,833509,5371,4293,85686,3933427,Fayetteville
4300,3.14E+12,B-43,"Xto Energy, Inc.",2012,264165,4433,2154,150409,4326080,Fayetteville
4301,3.14E+12,B-43,"Xto Energy, Inc.",2012,225809,4428,2244,151998,4314240,Fayetteville
4302,3.14E+12,B-43,"Xto Energy, Inc.",2012,311441,4485,2642,152154,4315580,Fayetteville
4303,3.14E+12,B-43,"Seeco, Llc",2012,575522,7472,4419,82181,3520584,Fayetteville
4304,3.14E+12,B-43,"Seeco, Llc",2012,1096212,7602,4161,147096,6244423,Fayetteville
4305,3.14E+12,B-43,"Seeco, Llc",2012,752143,5548,3828,106755,3883388,Fayetteville
4306,3.14E+12,B-43,"Seeco, Llc",2012,408538,3257,3884,61536,2185832,Fayetteville
4307,3.14E+12,B-43,"Seeco, Llc",2012,876868,6778,3993,118660,5092002,Fayetteville
4308,3.14E+12,B-43,"Seeco, Llc",2012,978749,4899,3908,89541,3912919,Fayetteville
4309,3.14E+12,B-43,"Seeco, Llc",2012,772125,3903,3923,64389,2986322,Fayetteville
4310,3.14E+12,B-43,"Seeco, Llc",2012,794019,4185,4121,59963,2741070,Fayetteville
4311,3.14E+12,B-43,"Seeco, Llc",2012,804347,4185,3812,64077,2941260,Fayetteville
4312,3.14E+12,B-43,"Seeco, Llc",2012,976137,5454,3677,97026,4333257,Fayetteville
4313,3.14E+12,B-43,"Seeco, Llc",2012,869588,4373,4137,68811,3120000,Fayetteville
4314,3.14E+12,B-43,"Seeco, Llc",2012,1000802,4558,3814,78518,3513256,Fayetteville
4315,3.14E+12,B-43,"Seeco, Llc",2012,932052,4840,4574,117899,3901203,Fayetteville
4316,3.14E+12,B-43,"Seeco, Llc",2012,649809,3856,5042,97622,3119594,Fayetteville
4317,3.14E+12,B-43,"Seeco, Llc",2012,537668,4020,4886,86513,2734626,Fayetteville
4318,3.14E+12,B-43,"Seeco, Llc",2012,612626,4348,4787,112880,3511398,Fayetteville
4319,3.14E+12,B-43,"Seeco, Llc",2013,1232339,6239,3607,111298,5102597,Fayetteville
4320,3.14E+12,B-43,"Seeco, Llc",2013,1037300,5611,4435,102445,4705308,Fayetteville
4321,3.14E+12,B-43,"Seeco, Llc",2013,865174,6235,3804,113162,5091716,Fayetteville
4322,3.14E+12,B-43,"Seeco, Llc",2012,846479,4608,4975,81474,3527032,Fayetteville
4323,3.14E+12,B-43,"Seeco, Llc",2012,513656,3997,4280,71664,3133841,Fayetteville
4324,3.14E+12,B-43,"Seeco, Llc",2012,425491,4878,4596,77099,3545817,Fayetteville
4325,3.14E+12,B-43,"Seeco, Llc",2012,548015,5527,3964,93783,4302794,Fayetteville
